sbscrptn_ek_id,prdct_nm
1455287,Super 10
1455287,Super 30
1455287,Super Smart
1455287,Valuetime
1455642,FreeFridays
1456402,3G SimSim
1456402,Call Conference
1456402,Free Stardial Facilities
1456402,Freetime 20
1456402,My Package
1456402,Super 10
1456402,Super 30
1456402,Super Smart
1456402,Valuetime
1456912,3G SimSim
1456912,Call Conference
1456912,Free Stardial Facilities
1456912,Freetime 20
1456912,My Package
1456912,Super 10
1456912,Super 30
1456912,Super Smart
1456912,Valuetime
1457154,3G SimSim
1457154,Call Conference
1457154,Free Stardial Facilities
1457154,Freetime 20
1457154,My Package
1457154,Super 10
1457154,Super 30
1457154,Super Smart
1457154,Valuetime
1457301,3G SimSim
1457301,Call Conference
1457301,Free Stardial Facilities
1457301,Freetime 20
1457301,My Package
1457301,Super 10
1457301,Super 30
1457301,Super Smart
1457301,Valuetime
1457969,3G SimSim
1457969,Call Conference
1457969,Free Stardial Facilities
1457969,Freetime 20
1457969,My Package
1457969,Super 10
1457969,Super 30
1457969,Super Smart
1457969,Valuetime
1459123,FreeFridays
1459299,3G SimSim
1459299,Call Conference
1459299,Free Stardial Facilities
1459299,Freetime 20
1459299,My Package
1459299,Super 10
1459299,Super 30
1459299,Super Smart
1459299,Valuetime
1459652,3G International
1459652,Call Conference
1459652,Free Stardial Facilities
1459652,Freetime 20
1459652,My Package
1459652,Super 10
1459652,Super 30
1459652,Super Smart
1459652,Valuetime
1460854,3G SimSim Home
1460854,Free Stardial Facilities
1460854,Freetime 20
1460854,My Package
1460854,Super 10
1460854,Super 30
1460854,Super Smart
1460854,Valuetime
1461318,3G SimSim
1461318,Call Conference
1461318,Free Stardial Facilities
1461318,Freetime 20
1461318,My Package
1461318,Super 10
1461318,Super 30
1461318,Super Smart
1461318,Valuetime
1461953,3G SimSim
1461953,Call Conference
1461953,Free Stardial Facilities
1461953,Freetime 20
1461953,My Package
1461953,Super 10
1461953,Super 30
1461953,Super Smart
1461953,Valuetime
1462767,3G SimSim
1462767,Call Conference
1462767,Free Stardial Facilities
1462767,Freetime 20
1462767,My Package
1462767,Super 10
1462767,Super 30
1462767,Super Smart
1462767,Valuetime
1462788,3G SimSim
1462788,Call Conference
1462788,Free Stardial Facilities
1462788,Freetime 20
1462788,My Package
1462788,Super 10
1462788,Super 30
1462788,Super Smart
1462788,Valuetime
1463114,3G SimSim
1463114,Call Conference
1463114,Free Stardial Facilities
1463114,Freetime 20
1463114,My Package
1463114,Super 10
1463114,Super 30
1463114,Super Smart
1463114,Valuetime
1463176,3G SimSim
1463176,Call Conference
1463176,Free Stardial Facilities
1463176,Freetime 20
1463176,My Package
1463176,Super 10
1463176,Super 30
1463176,Super Smart
1463176,Valuetime
1463184,3G SimSim
1463184,Call Conference
